Subject,Exercise,View,best_shift,best_shift_unique_value,best_shift_median
8,Leg extension crunch,Side,"[-2.0, -2.0, -1.0, -2.0, -1.0, -2.0, -2.0, -2.0, -2.0, -60.0, -1.0, -2.0, -1.0, -3.0, -2.0, -2.0]","{-60.0: 1, -3.0: 1, -2.0: 10, -1.0: 4}",-2.0
8,Reverse fly,Frontal,"[-5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -3.0, -5.0, -6.0, -6.0, -6.0, -5.0, -4.0]","{-6.0: 3, -5.0: 9, -4.0: 3, -3.0: 1}",-5.0
8,Reverse fly,Side,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0]","{2.0: 2, 3.0: 13, 5.0: 1}",3.0
8,Side squat,Frontal,"[-4.0, -4.0, 0.0, -3.0, -2.0, -2.0, -3.0, -4.0, -4.0, -2.0, -35.0, -5.0, 59.0, -5.0, -3.0, -4.0]","{0.0: 1, 59.0: 1, -3.0: 3, -5.0: 2, -4.0: 5, -35.0: 1, -2.0: 3}",-3.5
8,Side squat,Side,"[-2.0, -2.0, -2.0, -2.0, -2.0, -1.0, -2.0, -2.0, -2.0, 0.0, -2.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 2, -2.0: 12, -1.0: 1}",-2.0
8,Single leg deadlift,Frontal,"[-47.0, -46.0, -47.0, -46.0, -47.0, -49.0, -46.0, -46.0, -46.0, -45.0, -46.0, -48.0, -45.0, -48.0, -46.0, -47.0]","{-49.0: 1, -48.0: 2, -47.0: 4, -46.0: 7, -45.0: 2}",-46.0
8,Single leg deadlift,Side,"[-37.0, -36.0, -37.0, -36.0, -36.0, -34.0, -36.0, -36.0, -36.0, -34.0, -37.0, -40.0, -35.0, -37.0, -36.0, -36.0]","{-40.0: 1, -37.0: 4, -36.0: 8, -35.0: 1, -34.0: 2}",-36.0
8,Squat,Frontal,"[21.0, 21.0, 27.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 23.0, -1.0, 20.0, 16.0, 20.0, 21.0, 21.0]","{16.0: 1, 20.0: 2, 21.0: 10, 23.0: 1, 27.0: 1, -1.0: 1}",21.0
8,Squat,Side,"[42.0, 42.0, 43.0, 42.0, 42.0, 43.0, 43.0, 42.0, 42.0, 44.0, 42.0, 41.0, 42.0, 41.0, 42.0, 42.0]","{41.0: 2, 42.0: 10, 43.0: 3, 44.0: 1}",42.0
9,Front lunge,Frontal,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 9.0, 7.0, 6.0, 6.0, 6.0, 7.0, 7.0]","{9.0: 1, 6.0: 3, 7.0: 12}",7.0
9,Front lunge,Side,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0]","{1.0: 2, 2.0: 13, 5.0: 1}",2.0
9,Jumping jacks,Frontal,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0]","{4.0: 4, 5.0: 11, 7.0: 1}",5.0
9,Jumping jacks,Side,"[15.0, 15.0, 14.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 17.0, 14.0, 15.0, 14.0, 14.0, 15.0, 15.0]","{17.0: 1, 14.0: 4, 15.0: 11}",15.0
9,Lateral arm raise,Frontal,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 11.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0]","{8.0: 1, 9.0: 14, 11.0: 1}",9.0
9,Lateral arm raise,Side,"[2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0]","{1.0: 4, 2.0: 11, 4.0: 1}",2.0
9,Leg extension crunch,Frontal,"[-32.0, -32.0, -32.0, -32.0, -32.0, -31.0, -32.0, -32.0, -32.0, -30.0, -32.0, -31.0, -32.0, -33.0, -32.0, -32.0]","{-32.0: 12, -31.0: 2, -30.0: 1, -33.0: 1}",-32.0
9,Leg extension crunch,Side,"[-16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -17.0, -16.0, -16.0, -17.0, -16.0, -16.0]","{-16.0: 12, -17.0: 4}",-16.0
9,Reverse fly,Frontal,"[-33.0, -33.0, -33.0, -33.0, -33.0, -33.0, -33.0, -33.0, -33.0, -31.0, -33.0, -33.0, 49.0, -34.0, -33.0, -33.0]","{-31.0: 1, 49.0: 1, -34.0: 1, -33.0: 13}",-33.0
9,Reverse fly,Side,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","{0.0: 2, 1.0: 10, 2.0: 1, 3.0: 3}",1.0
9,Side squat,Frontal,"[-4.0, -4.0, -3.0, -4.0, -4.0, -3.0, -4.0, -4.0, -4.0, -2.0, -7.0, -4.0, -5.0, -5.0, -4.0, -4.0]","{-7.0: 1, -5.0: 2, -4.0: 10, -3.0: 2, -2.0: 1}",-4.0
9,Side squat,Side,"[-1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 2.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0]","{0.0: 4, 2.0: 1, -1.0: 11}",-1.0
9,Single leg deadlift,Frontal,"[17.0, 17.0, 17.0, 17.0, 17.0, 18.0, 17.0, 17.0, 17.0, 19.0, 17.0, 16.0, 17.0, 16.0, 17.0, 17.0]","{16.0: 2, 17.0: 12, 18.0: 1, 19.0: 1}",17.0
9,Single leg deadlift,Side,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 10.0, 7.0, 7.0, 9.0, 7.0, 8.0, 8.0]","{8.0: 9, 9.0: 1, 10.0: 1, 7.0: 5}",8.0
9,Squat,Frontal,"[-15.0, -15.0, -13.0, -15.0, -15.0, -14.0, -15.0, -15.0, -15.0, -13.0, -35.0, -14.0, -18.0, -16.0, -15.0, -15.0]","{-18.0: 1, -16.0: 1, -15.0: 9, -14.0: 2, -13.0: 2, -35.0: 1}",-15.0
9,Squat,Side,"[-18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -16.0, -18.0, -19.0, -18.0, -19.0, -18.0, -18.0]","{-16.0: 1, -19.0: 2, -18.0: 13}",-18.0
10,Front lunge,Frontal,"[6.0, 6.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0]","{8.0: 1, 5.0: 5, 6.0: 10}",6.0
10,Front lunge,Side,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","{0.0: 1, 1.0: 14, 3.0: 1}",1.0
10,Jumping jacks,Frontal,"[3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0]","{2.0: 2, 3.0: 12, 4.0: 1, 5.0: 1}",3.0
10,Jumping jacks,Side,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0]","{1.0: 2, 2.0: 13, 4.0: 1}",2.0
10,Lateral arm raise,Frontal,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 7.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0]","{4.0: 6, 5.0: 9, 7.0: 1}",5.0
10,Lateral arm raise,Side,"[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 14.0, 11.0, 11.0, 11.0, 11.0, 12.0, 12.0]","{11.0: 4, 12.0: 11, 14.0: 1}",12.0
10,Leg extension crunch,Frontal,"[8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 10.0, 8.0, 9.0, 8.0, 7.0, 8.0, 8.0]","{8.0: 10, 9.0: 4, 10.0: 1, 7.0: 1}",8.0
10,Leg extension crunch,Side,"[-1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, -2.0, -2.0, -2.0, -2.0, -1.0, -1.0]","{0.0: 2, -1.0: 10, -2.0: 4}",-1.0
10,Reverse fly,Frontal,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0]","{4.0: 2, 5.0: 13, 7.0: 1}",5.0
10,Reverse fly,Side,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0]","{2.0: 1, 3.0: 14, 5.0: 1}",3.0
10,Side squat,Frontal,"[-2.0, -2.0, -2.0, -2.0, -2.0, -1.0, -3.0, -2.0, -2.0, 0.0, -3.0, -2.0, -2.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 3, -2.0: 11, -1.0: 1}",-2.0
10,Side squat,Side,"[-7.0, -7.0, -6.0, -7.0, -7.0, -6.0, -7.0, -7.0, -7.0, -5.0, -7.0, -7.0, -8.0, -8.0, -7.0, -7.0]","{-8.0: 2, -7.0: 11, -6.0: 2, -5.0: 1}",-7.0
10,Single leg deadlift,Frontal,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 20.0, 18.0, 17.0, 18.0, 17.0, 18.0, 18.0]","{17.0: 2, 18.0: 13, 20.0: 1}",18.0
10,Single leg deadlift,Side,"[33.0, 33.0, 33.0, 33.0, 33.0, 35.0, 33.0, 34.0, 34.0, 35.0, 33.0, 31.0, 33.0, 32.0, 33.0, 33.0]","{32.0: 1, 33.0: 10, 34.0: 2, 35.0: 2, 31.0: 1}",33.0
10,Squat,Frontal,"[-12.0, -12.0, -10.0, -13.0, -11.0, -12.0, -12.0, -12.0, -12.0, -10.0, -12.0, -7.0, -17.0, -13.0, -12.0, -12.0]","{-17.0: 1, -13.0: 2, -12.0: 9, -11.0: 1, -10.0: 2, -7.0: 1}",-12.0
10,Squat,Side,"[-12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -10.0, -12.0, -13.0, -13.0, -13.0, -12.0, -12.0]","{-13.0: 3, -12.0: 12, -10.0: 1}",-12.0
